hhid,def_kcal_ae_hh,micro_req_count,micro_rec_count,micro_req_count_pct,micro_rec_count_pct
2086661315,1,3,2,0.25,0.166666666667
2086661317,1,6,4,0.5,0.333333333333
2086661318,1,4,3,0.333333333333,0.25
2086661319,1,6,5,0.5,0.416666666667
2086661320,1,1,1,0.0833333333333,0.0833333333333
2086661321,1,7,5,0.583333333333,0.416666666667
2086661404,1,1,1,0.0833333333333,0.0833333333333
2086661506,1,2,2,0.166666666667,0.166666666667
2086662300,1,5,4,0.416666666667,0.333333333333
2086662301,1,1,1,0.0833333333333,0.0833333333333
2086662302,1,8,6,0.666666666667,0.5
2086662303,1,6,6,0.5,0.5
2086662304,0,7,5,0.583333333333,0.416666666667
2086662305,1,6,6,0.5,0.5
2086662307,1,2,2,0.166666666667,0.166666666667
2086662308,0,8,7,0.666666666667,0.583333333333
2086662309,1,5,5,0.416666666667,0.416666666667
2086662310,1,0,0,0.0,0.0
2086662311,1,1,1,0.0833333333333,0.0833333333333
2086662313,1,5,3,0.416666666667,0.25
2086662314,1,3,3,0.25,0.25
2086662315,1,2,0,0.166666666667,0.0
2086662316,1,5,4,0.416666666667,0.333333333333
2086662317,1,6,5,0.5,0.416666666667
2086662318,1,5,3,0.416666666667,0.25
2086662319,0,8,6,0.666666666667,0.5
2086662320,0,7,6,0.583333333333,0.5
2086662321,1,4,4,0.333333333333,0.333333333333
2086663101,1,3,3,0.25,0.25
2086663300,1,0,0,0.0,0.0
2086663304,1,0,0,0.0,0.0
2086663306,1,1,0,0.0833333333333,0.0
2086663308,1,2,1,0.166666666667,0.0833333333333
2086663312,1,1,0,0.0833333333333,0.0
2086663313,1,0,0,0.0,0.0
2086663314,1,2,0,0.166666666667,0.0
2086663315,1,4,3,0.333333333333,0.25
2086663316,0,10,8,0.833333333333,0.666666666667
2086663317,1,6,4,0.5,0.333333333333
2086663318,1,1,1,0.0833333333333,0.0833333333333
2086663319,1,4,2,0.333333333333,0.166666666667
2086663320,1,0,0,0.0,0.0
2086663321,1,7,4,0.583333333333,0.333333333333
2086663323,0,4,1,0.333333333333,0.0833333333333
2086663324,0,3,2,0.25,0.166666666667
2086663402,1,7,4,0.583333333333,0.333333333333
2086663403,0,1,0,0.0833333333333,0.0
2086663409,1,3,3,0.25,0.25
2086663411,1,4,1,0.333333333333,0.0833333333333
2086664300,1,3,1,0.25,0.0833333333333
2086664301,0,7,6,0.583333333333,0.5
2086664302,1,8,8,0.666666666667,0.666666666667
2086664303,0,2,1,0.166666666667,0.0833333333333
2086664306,1,3,1,0.25,0.0833333333333
2086664307,1,0,0,0.0,0.0
2086664308,1,1,1,0.0833333333333,0.0833333333333
2086664309,1,5,4,0.416666666667,0.333333333333
2086664310,1,6,5,0.5,0.416666666667
2086664311,0,8,6,0.666666666667,0.5
2086664312,0,10,9,0.833333333333,0.75
2086664313,1,4,2,0.333333333333,0.166666666667
2086664314,0,5,4,0.416666666667,0.333333333333
2086664315,0,7,2,0.583333333333,0.166666666667
2086664316,1,4,4,0.333333333333,0.333333333333
2086664317,1,4,1,0.333333333333,0.0833333333333
2086664318,1,2,2,0.166666666667,0.166666666667
2086664319,1,1,1,0.0833333333333,0.0833333333333
2086664320,1,0,0,0.0,0.0
2086665300,0,10,10,0.833333333333,0.833333333333
2086665302,1,0,0,0.0,0.0
2086665303,1,4,3,0.333333333333,0.25
2086665304,0,9,7,0.75,0.583333333333
2086665305,1,1,0,0.0833333333333,0.0
2086665306,0,5,3,0.416666666667,0.25
2086665307,1,0,0,0.0,0.0
2086665308,1,3,3,0.25,0.25
2086665309,1,7,6,0.583333333333,0.5
2086665310,1,5,4,0.416666666667,0.333333333333
2086665311,0,4,2,0.333333333333,0.166666666667
2086665314,1,1,1,0.0833333333333,0.0833333333333
2086665315,1,1,0,0.0833333333333,0.0
2086665316,1,6,6,0.5,0.5
2086665317,1,9,8,0.75,0.666666666667
2086665318,1,7,4,0.583333333333,0.333333333333
2086665319,1,6,5,0.5,0.416666666667
2086665320,0,4,4,0.333333333333,0.333333333333
2086665326,0,5,4,0.416666666667,0.333333333333
2086666300,1,2,2,0.166666666667,0.166666666667
2086666301,0,8,5,0.666666666667,0.416666666667
2086666305,1,5,2,0.416666666667,0.166666666667
2086666306,1,0,0,0.0,0.0
2086666307,1,6,3,0.5,0.25
2086666308,1,1,0,0.0833333333333,0.0
2086666309,1,5,4,0.416666666667,0.333333333333
2086666310,1,7,4,0.583333333333,0.333333333333
2086666311,1,6,4,0.5,0.333333333333
2086666313,1,0,0,0.0,0.0
2086666314,1,0,0,0.0,0.0
2086666315,0,8,5,0.666666666667,0.416666666667
2086666316,1,1,0,0.0833333333333,0.0
2086666317,1,4,3,0.333333333333,0.25
2086666318,1,5,3,0.416666666667,0.25
2086666319,1,0,0,0.0,0.0
2086666322,1,7,5,0.583333333333,0.416666666667
2086666323,1,4,2,0.333333333333,0.166666666667
2086666324,1,8,6,0.666666666667,0.5
2086666328,0,9,8,0.75,0.666666666667
2086666332,0,6,5,0.5,0.416666666667
2086667300,1,1,1,0.0833333333333,0.0833333333333
2086667301,1,5,4,0.416666666667,0.333333333333
2086667302,0,7,3,0.583333333333,0.25
2086667303,1,5,3,0.416666666667,0.25
2086667304,1,4,2,0.333333333333,0.166666666667
2086667305,1,2,2,0.166666666667,0.166666666667
2086667306,1,3,3,0.25,0.25
2086667307,1,6,3,0.5,0.25
2086667309,1,3,1,0.25,0.0833333333333
2086667310,1,1,0,0.0833333333333,0.0
2086667311,1,7,7,0.583333333333,0.583333333333
2086667312,0,7,7,0.583333333333,0.583333333333
2086667315,1,6,3,0.5,0.25
2086667318,1,4,3,0.333333333333,0.25
2086667319,1,1,1,0.0833333333333,0.0833333333333
2086667320,1,0,0,0.0,0.0
2086667321,1,7,5,0.583333333333,0.416666666667
2086667322,1,0,0,0.0,0.0
2086667323,1,5,2,0.416666666667,0.166666666667
2086667324,1,0,0,0.0,0.0
2093320220,1,4,2,0.333333333333,0.166666666667
2093320221,1,2,2,0.166666666667,0.166666666667
2093320222,0,11,9,0.916666666667,0.75
2093320223,1,1,1,0.0833333333333,0.0833333333333
2093320225,1,0,0,0.0,0.0
2093320226,0,9,8,0.75,0.666666666667
2093320227,1,0,0,0.0,0.0
2093320228,1,7,6,0.583333333333,0.5
2093320230,1,3,1,0.25,0.0833333333333
2093320231,1,8,8,0.666666666667,0.666666666667
2093320232,0,10,9,0.833333333333,0.75
2093320233,1,0,0,0.0,0.0
2093320234,1,1,0,0.0833333333333,0.0
2093320236,1,2,2,0.166666666667,0.166666666667
2093320237,0,10,7,0.833333333333,0.583333333333
2093320238,1,1,0,0.0833333333333,0.0
2093320240,0,6,4,0.5,0.333333333333
2093320241,1,3,3,0.25,0.25
2093320242,1,3,2,0.25,0.166666666667
2093320244,1,0,0,0.0,0.0
2093320247,0,11,10,0.916666666667,0.833333333333
2093320249,1,2,1,0.166666666667,0.0833333333333
2093320250,0,6,6,0.5,0.5
2093320251,1,4,4,0.333333333333,0.333333333333
2093320252,1,3,1,0.25,0.0833333333333
2093320253,1,7,5,0.583333333333,0.416666666667
2093320254,1,5,4,0.416666666667,0.333333333333
2093320255,1,5,4,0.416666666667,0.333333333333
2093320256,0,8,7,0.666666666667,0.583333333333
2093320300,1,0,0,0.0,0.0
2093320301,1,10,7,0.833333333333,0.583333333333
2093320302,0,8,8,0.666666666667,0.666666666667
2093320303,1,6,4,0.5,0.333333333333
2093320306,1,7,5,0.583333333333,0.416666666667
2093321174,1,4,3,0.333333333333,0.25
2093321175,1,4,3,0.333333333333,0.25
2093321178,1,1,1,0.0833333333333,0.0833333333333
2093321179,1,1,1,0.0833333333333,0.0833333333333
2093321181,1,0,0,0.0,0.0
2093321183,1,1,1,0.0833333333333,0.0833333333333
2093321185,1,0,0,0.0,0.0
2093321187,1,4,3,0.333333333333,0.25
2093321189,1,6,5,0.5,0.416666666667
2093321190,1,4,1,0.333333333333,0.0833333333333
2093321191,1,6,5,0.5,0.416666666667
2093321192,1,5,4,0.416666666667,0.333333333333
2093321193,1,4,4,0.333333333333,0.333333333333
2093321194,1,4,2,0.333333333333,0.166666666667
2093321195,0,4,3,0.333333333333,0.25
2093321196,1,0,0,0.0,0.0
2093321208,1,3,2,0.25,0.166666666667
2093321300,1,4,1,0.333333333333,0.0833333333333
2093321301,1,1,1,0.0833333333333,0.0833333333333
2093321302,1,8,6,0.666666666667,0.5
2093321303,1,4,3,0.333333333333,0.25
2093321305,1,6,3,0.5,0.25
2093322100,1,0,0,0.0,0.0
2093322170,1,2,2,0.166666666667,0.166666666667
2093322171,1,2,1,0.166666666667,0.0833333333333
2093322172,1,3,2,0.25,0.166666666667
2093322173,1,3,3,0.25,0.25
2093322177,1,0,0,0.0,0.0
2093322180,1,8,7,0.666666666667,0.583333333333
2093322184,1,1,1,0.0833333333333,0.0833333333333
2093322186,1,1,1,0.0833333333333,0.0833333333333
2093322197,1,2,2,0.166666666667,0.166666666667
2093322201,1,6,6,0.5,0.5
2093322203,0,9,6,0.75,0.5
2093322205,1,3,3,0.25,0.25
2093322206,1,0,0,0.0,0.0
