,bmiz06,whz06,waz06,haz06
own_iron_cons,0.0872841147659,0.102122654093,0.100132349921,0.00533414098141
gift_iron_cons,-0.017799808316,-0.026404633697,0.0209282208759,0.0391690996038
tot_mfp_fe_cons,-0.0110333338873,-0.00960489230375,-0.0187665459761,-0.00488140466603
purch_mfp_fe_cons,-0.0117351849311,-0.0118886304537,-0.0246027876458,-0.00943385570649
own_mfp_fe_cons,0.0582004080256,0.092280603481,0.124924097073,0.0394589612895
gift_mfp_fe_cons,-0.0450680020748,-0.0352182355765,0.0346167100174,0.0930898683729
tot_zinc_cons,0.0085598425599,0.0153626720172,-0.011617958617,-0.0217190193297
purch_zinc_cons,-0.00277791431839,0.00256659765642,-0.0307202490358,-0.0279297430336
own_zinc_cons,0.088928440134,0.100645727792,0.0973851935865,0.000587951853047
gift_zinc_cons,-0.0199565819641,-0.0203682817525,0.028647570592,0.0476923843643
tot_cu_cons,0.0328015997809,0.0443706721726,0.0680090636916,0.0162719934299
purch_cu_cons,0.0149647393629,0.031077127481,0.0299899693958,-0.00500290706682
own_cu_cons,0.0726088313997,0.0745985271947,0.0758946365921,-0.00648597475035
gift_cu_cons,-0.00539455803809,-0.00635001326203,0.0233773589858,0.0261204689896
tot_mn_cons,0.0184075763755,0.0209853584487,0.0157686363845,-0.0107631012468
purch_mn_cons,0.00126390055157,0.00356554565083,-0.0119032207999,-0.0168960678927
own_mn_cons,0.0661573443482,0.0747340181786,0.0642800281716,-0.0134327437084
gift_mn_cons,-0.00294081897809,-0.00953116845911,0.0301114673135,0.0284030195496
tot_vita_A_cons,0.00305566958241,0.0331361249443,0.0654580971262,0.0385838778374
purch_vita_A_cons,0.00824730422057,0.036538874807,0.063198202098,0.0297924390388
own_vita_A_cons,0.0171495510744,0.0470692353365,0.0839973623224,0.0478987515624
gift_vita_A_cons,-0.0316604379649,-0.0362121268748,-0.0293656469408,0.0143317204708
tot_a_vita_cons,0.0274424316233,0.0433869433668,0.0396606187081,-0.00800999785232
purch_a_vita_cons,0.0318767436317,0.0499006391033,0.0397473498305,-0.0207070711056
own_a_vita_cons,0.0567808755116,0.0819273002967,0.11894324097,0.0395804464975
gift_a_vita_cons,-0.0323086649555,-0.0448321867147,-0.0569476653194,-0.00240772416863
tot_vitd_cons,0.0706052406622,0.0759135671753,0.0695372992984,-0.0209400223593
purch_vitd_cons,0.0781128790267,0.0817531171115,0.0719500116012,-0.0306258315666
own_vitd_cons,-0.00495603806481,-0.0667923391998,-0.00971579514287,0.0208605743959
gift_vitd_cons,-0.0169276517143,-0.0021186873786,0.00149761122755,0.0286181858658
tot_vita_E_cons,0.0303655485093,0.0391171793529,0.0635810730401,0.0152948977966
purch_vita_E_cons,0.00870397457913,0.0178586740475,0.0322912939654,0.00591686988999
own_vita_E_cons,0.0623987510889,0.0543587901777,0.0489210751487,-0.022960940937
gift_vita_E_cons,0.000434689360542,0.0101949940305,0.0362864358772,0.0303432266687
tot_vita_C_cons,0.000530543856279,0.0159024912692,0.0264087440065,0.0153088955342
purch_vita_C_cons,-0.00181377164459,0.0117367934439,0.0185184562088,0.0110004206951
own_vita_C_cons,0.00159207166627,0.0510106392531,0.0755758579379,0.0534041037722
gift_vita_C_cons,0.0185292499332,-0.0142363607143,0.0172424712081,0.00415999615587
tot_thia_cons,0.0640630667741,0.0910780147176,0.0447709899286,-0.0359645784153
purch_thia_cons,0.0244050670954,0.0463160854671,-0.0174670196968,-0.0553118080077
own_thia_cons,0.0873468282949,0.110606054624,0.106424404654,0.00912887124403
gift_thia_cons,-0.0148334396681,-0.0323959386061,0.0073311202694,0.026048939441
tot_ribof_cons,0.0478848945671,0.0966095455516,0.0453953236953,-0.0342039617082
purch_ribof_cons,0.038676198289,0.0875261264929,0.0213010909709,-0.0522563607672
own_ribof_cons,0.0484728375575,0.068887872775,0.0830840902508,0.0287211853204
gift_ribof_cons,-0.0224977180901,-0.0495839103486,-0.0283129754931,0.00977060838944
tot_nia_cons,0.0290813618787,0.0310754056937,0.0184555408273,-0.0150905138395
purch_nia_cons,-0.00200573708262,-0.00517789123664,-0.037532774953,-0.033801214347
own_nia_cons,0.0873564619131,0.0902524927643,0.0833432178079,-0.0128830589571
gift_nia_cons,-0.00595109103543,0.00208228319946,0.0356339457564,0.0379117068021
tot_vita_B6_cons,0.0119169081809,0.0278633976338,0.0125898600294,-0.00706594178365
purch_vita_B6_cons,-0.00438708367851,0.00879232207525,-0.0135439326153,-0.0152077939174
own_vita_B6_cons,0.0887222177431,0.114302505293,0.112636889298,0.012394229527
gift_vita_B6_cons,-0.0261140638961,-0.0416675423438,0.0105046951171,0.042580162806
